Id	Kodu	BolumTipiId	ParentId	Adi	BlokId	ServisKatId	IptalAciklamaId	IptalAciklamasi	OperationTypeId	CreatedByLoginId	CreatedDate	ModifiedByLoginId	ModifiedDate	State	RecordStamp	BolumAltTipiId	AyaktanEpikrizSablonId	YatanEpikrizSablonId	AyaktanOzetEpikrizSablonId	YatanOzetEpikrizSablonId	SGKHastaFarkOrani	IsRandevuVerilir	IsWebRandevuVerilir	SaglikTesisKodu	BolumSorumlusu	IrtibatTelefonu	VentilatorSayisi	KonsultasyonHizmetId	MasrafMerkeziId	IsAtolye	SKRSKlinikId	IsSGKHastaPayiAlınmayacak	IsSGKHastaPayiAlinmayacak	SKRSKodu	BransId	PrDefterBaslangicNo	PrDefterBitisNo	MerkezId	SenkronizasyonTarihi	SenkronizasyonLogId	RandevuCizelgeSuresi	KurumsuzMuayeneKontrolSuresi	IsNotIndirimOnayOtomatik	YabanciAd	MuayeneFormKodu	BolumTIGId	KisaAd	IsKurumsuzKontroldeAyriProtokolAcilsin	IsKatilimPayindanMuaf	IsEpikriziBolumeOzel	HastaneCariId	ENabizSaglikTesisiId	Aciklama	TeleTipKurumKodu	IsKDVsizFaturaKesilemesin	RandevuAciklamasi	SubeId	ISPandemiKlinigi	PandemiKlinigiYatakTuruId	IsFiyatTeklifVerenBolum	MobileId	IsIlkTaniTarihiKontroluYapilsin	AlternatifAd
0	0	1		Diğer Tıbbi Birimler	0				54	1	9.11.2021 11:11:46			0	System.Byte[]							False	False												86								True														167				0		
4	4	1		Qulaq-Burun-Boğaz	0				54	1	13.01.2020 14:48:07	510587962	18.08.2026 11:04:32	1	System.Byte[]		1	2	11	12		True	True					100024	1243					165	82							14	True	Ear, Nose, Throat Diseases													167			True	4		
5	5	1		Klinik	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False												74								True														167				5		
6	6	1		Göz	0				54	1	13.01.2020 14:48:07			0	System.Byte[]							True	False												83								True														167				6		
7	7	1		KBB	0				54	1	13.01.2020 14:48:07			0	System.Byte[]							True	False												82								True														167				7		
16	16	1		Radyoloji	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False												131								True														167				16		
19	19	1		Təcili Tibbi yardım	0				54	1	13.01.2020 14:48:07	507215310	6.08.2026 17:00:21	1	System.Byte[]	1	1	2	11	12		True	True					100024	1217					101	90							0	True	Emergency Services													167			True	19		
20	20	1		Stomatologiya	0				54	1	13.01.2020 14:48:07	279544489	27.02.2025 10:36:59	1	System.Byte[]		1	2	11	12		True	True					100024	1218			False		198	285							14	True	Oral and dental Health 	Medinet.Dis.Tedavi.Muayene.FormDisMuayene			True		False							167			True	20		
21	21	1		Anestezi ve Reanimasyon (GYB) TR.	0				54	1	13.01.2020 14:48:07	133425523	31.05.2024 11:29:35	1	System.Byte[]	4	1	2	11	12		True	False					100024	1460					109	92							14	True	Anesthesia and Reanimation													167			True	21		
22	22	1		Neyrocərrahiyyə	0				54	1	13.01.2020 14:48:07	482530865	14.05.2026 13:13:10	1	System.Byte[]		1	2	11	12		True	True					100024	1221					112	78							14	True	Neurosurgery						False							167			True	22		
23	23	1		Uşaq Cərrahiyyə	0				54	1	13.01.2020 14:48:07	176412253	21.08.2024 09:13:30	1	System.Byte[]		1	2	11	12		True	True					100024	1222					116	75							14	True	Pediatric Surgery													167			True	23		
24	24	1		Uşaq Nevrologiyası	0				54	1	13.01.2020 14:48:07	40522333	3.03.2023 10:54:18	1	System.Byte[]		1	2	11	12		True	True					100024	1450					129	94							14	True	Pediatric Neurology													167			True	24		
25	25	1		Uşaq Sağlamlığı və Xəstəlikləri	0				54	1	13.01.2020 14:48:07	40522333	2.03.2023 16:19:36	1	System.Byte[]		1	2	11	12		True	True					100024	1224					132	71							14	True	Child Health and Diseases													167			True	25		
26	26	1		Dermatologiya	0				54	1	13.01.2020 14:48:07	120767244	29.04.2024 16:51:55	1	System.Byte[]		1	2	11	12		True	True					100024	1226					136	72							14	True	Dermatology													167				26		
27	27	1		Dietologiya 	0				54	1	13.01.2020 14:48:07	404627168	23.10.2025 15:26:57	1	System.Byte[]		1	2	11	12		True	True					100024	1220					198	8						20	1	True	Diet and  Nutrition						False							167			True	27		
28	28	1		İnfeksion Xəstəliklər        	0				54	1	13.01.2020 14:48:07	4576171	3.01.2022 13:01:05	1	System.Byte[]		1	2	11	12		True	True					100024	1228					140	106							22	True	Infectious Diseases													167			True	28		
29	29	1		Fizioterapiya və Rehabilitasiya	0				54	1	13.01.2020 14:48:07	40522333	2.03.2023 16:20:40	1	System.Byte[]		1	2	11	12		True	True					100024	1229					142	73							14	True	Physical Medicine and Rehabilitation													167			True	29		
30	30	1		Qastroenterologiya	0				54	1	13.01.2020 14:48:07	40522333	2.03.2023 16:20:54	1	System.Byte[]		1	2	11	12		True	True					100024	1499					144	91							21	True	Gastroenterology													167				30		
31	31	1		Ümumi Cərrahiyyə	0				54	1	13.01.2020 14:48:07	506767922	5.08.2026 10:43:37	1	System.Byte[]		1	2	11	12		True	True					100024	1231					147	74							30	True	General Surgery													167			True	31		
32	32	1		Torakal Cerrahiyyə	0				54	1	13.01.2020 14:48:07	176412253	21.08.2024 09:13:47	1	System.Byte[]		1	2	11	12		True	True					100024	1233					149	76							14	True	Thoracic Surgery													167			True	32		
33	33	1		Pulmonologiya                      	0				54	1	13.01.2020 14:48:07	440514815	23.12.2025 18:08:30	1	System.Byte[]		1	2	11	12		True	True					108294	1234					150	68							14	True	Chest Diseases													167			True	33		
34	34	1		Oftalmologiya	0				54	1	13.01.2020 14:48:07	48512454	11.05.2023 09:48:16	1	System.Byte[]		1	2	11	12		True	True					100024	1235					151	83							14	True	Ophthalmology 													167			True	34		
35	35	1		Daxili Xəstəliklər	0				54	1	13.01.2020 14:48:07	99258167	19.02.2024 13:38:25	1	System.Byte[]		1	2	11	12		True	True					100024	1237					157	66							14	True	Internal diseases													167			True	35		
36	36	1		Mamalıq-Ginekologiya	0				54	1	13.01.2020 14:48:07	99258167	19.02.2024 13:47:14	1	System.Byte[]		1	2	11	12		True	True					100024	1238					161	84							14	True	Gynecology and Obstetrics													167			True	36		
37	37	1		Kardiologiya	0				54	1	13.01.2020 14:48:07	40522333	2.03.2023 16:21:59	1	System.Byte[]		1	2	11	12		True	True					100024	1240					163	67							14	True	Cardiology													167			True	37		
38	38	1		Ürək - Damar Cərrahiyyəsi	0				54	1	13.01.2020 14:48:07	4576171	3.01.2022 13:12:13	1	System.Byte[]		1	2	11	12		True	True					100024	1239					162	77							14	True	Cardiovascular Surgery													167			True	38		
39	39	1		Nefrologiya	0				54	1	13.01.2020 14:48:07	40522333	2.03.2023 16:22:50	1	System.Byte[]		1	2	11	12		True	True					100024	1245					166	97							14	True	Nephrology													167			True	39		
40	40	1		Nevrologiya	0				54	1	13.01.2020 14:48:07	195083084	23.09.2024 08:21:20	1	System.Byte[]		1	2	11	12		True	True					100024	1246					168	69							14	True	Neurology													167			True	40		
41	41	1		Travmatologiya və Ortopediya	0				54	1	13.01.2020 14:48:07	274822416	18.02.2025 17:12:48	1	System.Byte[]		1	2	11	12		True	True					100024	1248					171	80							14	True	Orthopedics and Traumatology													167			True	41		
42	42	1		Plastik, Estetik və Rekonstruktiv Cərrahiyyə	0				54	1	13.01.2020 14:48:07	40522333	2.03.2023 16:24:00	1	System.Byte[]		1	2	11	12		True	True					100024	1534					175	79							14	True	Plastic surgery													167			True	42		
43	43	1		Psikiyatri	0				54	1	13.01.2020 14:48:07	210221901	21.10.2024 16:26:55	1	System.Byte[]		1	2	11	12		True	True					100024	1253					181	70							14	True	Psychiatry													167			True	43		
44	44	1		Şüa Terapiyası	0				54	1	13.01.2020 14:48:07	40522333	2.03.2023 16:25:11	1	System.Byte[]		1	2	11	12		True	False					100024	1254					177	130							14	True	Radiation oncology													167			True	44		
45	45	1		Urologiya	0				54	1	13.01.2020 14:48:07	40522333	2.03.2023 16:16:50	1	System.Byte[]		1	2	11	12		True	True					100024	1261					196	81							14	True	Urology													167			True	45		
46	46	1		Ağız ve Diş Cerrahisi	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1498						89								True														167				46		
47	47	1		Anestezi ve Reanimasyon	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						74						92								True														167				47		
48	48	1		Beyin ve Sinir Cerrahi Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1221						78								True														167				48		
49	49	1		Çocuk Cerrahisi	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1222						75								True														167				49		
50	50	1		Çocuk Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1224						71								True														167				50		
51	51	1		Dermatoloji Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1226						72								True														167				51		
52	52	1		Enfeksiyon Hastalıkları Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1228						106								True														167				52		
53	53	1		Fizik Tedavi ve Rehabilitasyon Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1229						73								True														167				53		
54	54	1		Gastroenteroloji Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1230						91								True														167				54		
55	55	1		Genel Cerrahi Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1231						74								True														167				55		
56	56	1		Göğüs Cerrahisi Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1233						76								True														167				56		
57	57	1		Göğüs Hastalıkları Kliniği	0				54	1	21.01.2020 15:48:38			0	System.Byte[]							True	False						1234						68								True														167				57		
