Id	Kodu	Adi	SutKodu	SaglikNetKodu	VBOFiyati	MinYas	MaxYas	CinsiyetId	DoktorKapasitesi	IptalAciklamaId	IptalAciklamasi	OperationTypeId	CreatedByLoginId	CreatedDate	ModifiedByLoginId	ModifiedDate	State	RecordStamp	MerkezId	SenkronizasyonTarihi	SenkronizasyonLogId	IsDigerBransindanTakipAlabilir	IsYasCinsiyetKuraliSadeceSGKIcin	costcenter_id	costcenter_code	MKodu	TedaviTipiId	IsKurallariOnlineGorusmeIcinUygula
1	9916	Medical Hiyerarşi	9916			0	999					54	1	17.01.2020 12:29:51			0	System.Byte[]	9916					160	GM-96	9916		
3	4401	Pratisyen Hekimlik	9999	101		0	999					54	1	17.01.2020 12:29:51			0	System.Byte[]	4401					160	GM-01	9999		
4	3700	Qulaq-Burun-Boğaz	3700	100		0	999					54	1	17.01.2020 12:29:51	244503	5.11.2020 16:21:48	1	System.Byte[]	9907					160	MM4-07	3700		
5	9921	Sağlıklı Yaşam Kliniği	9921			0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	9921					160	GM-48	9921		
8	9903	Beslenme ve Diyetetik	9999	8225		0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	9903					117	GM-04	9903		
9	9902	Akupunktur	9999	1		0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	9921					160	GM-96	9999		
10	3103	Anestezi(KVC)	3100	4		0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	3103					160	GM-23	3103		
11	3101	Anestezi(Ameliyathane)	3100	4		0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	3101					160	MM4-01	3101		
12	3100	Anestezi(GYB)	3100	197005		0	999					54	1	17.01.2020 12:29:51	243521	20.07.2020 15:21:06	1	System.Byte[]	3102					160	GM-16	3102		
13	1242	Laboratuar	9999			0	999					54	1	17.01.2020 12:29:51	244499	5.11.2020 14:46:30	1	System.Byte[]	9914					170	MM4-07	9999		
14	5701	Yeni Doğan Yoğun Bakım	1500	197032		0	999					54	1	17.01.2020 12:29:51	81719861	24.11.2023 17:23:38	1	System.Byte[]	1048					159	GM-46	1048		
15	4100	Askeri Sahra Hekimliği	4100			0	999					54	1	17.01.2020 12:29:51			0	System.Byte[]	4100					160	GM-96	4100		
16	4200	Hava ve Uzay Hekimliği	4200	154		0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	4200					160	GM-96	4200		
17	4300	Sualtı Hekimliği ve Hiperbarik Tıp	4300	70		0	999					54	1	17.01.2020 12:29:51	208636	20.01.2020 10:32:38	1	System.Byte[]	4300					160	GM-96	4300		
18	9908	Check Up	9999	106		0	999					54	1	17.01.2020 12:29:51	2787836	8.12.2021 17:34:00	1	System.Byte[]	9908					160	GM-96	9908		
19	1171	Təcili Tibbi yardım	9999	26		0	999					54	1	17.01.2020 12:29:51			0	System.Byte[]	1171					160	GM-18	9999		
20	9910	Stomatologiya	9910			0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	9910					160	GM-96	9910		
21	9911	Anestezi ve Reanimasyon (GYB) TR.	9911			0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	9911					160	MM4-07	9911		
22	9912	Neyrocərrahiyyə	9912			0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	9912					160	MM4-10	9912		
23	1000	Uşaq Cərrahiyyə	1000	29		0	999					54	1	17.01.2020 12:29:51			0	System.Byte[]	1000					160	GM-21	1000		
24	9915	Uşaq Nevrologiyası	9915			0	999					54	1	17.01.2020 12:29:51			0	System.Byte[]	9915					160	GM-10	9915		
25	1900	Uşaq Sağlamlığı və Xəstəlikləri	1900	147		0	999					54	1	17.01.2020 12:29:51	243831	2.09.2020 11:26:00	1	System.Byte[]	9917					144	GM-31	9917		
26	9918	Dermatologiya	9918	46		0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	9918					1253	GM-37	9918		
27	9920	Dietologiya 	9920	175		0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	9920					1256	GM-40	9920		
28	1100	İnfeksion Xəstəliklər        	1100	25		0	999					54	1	17.01.2020 12:29:51	208636	20.01.2020 10:21:33	0	System.Byte[]	9923					139	MM4-14	1100		
29	5010	Fizioterapiya və Rehabilitasiya	9999			0	999					54	1	17.01.2020 12:29:51			1	System.Byte[]	5010					160	GM-10	9999		
