A00	Vəba
A00.0	Vibrio cholerae 01 vəba vibronlarınının törətdiyi vəba
A00.1	Vibrio Eltor 01 vəba vibronlarınının törətdiyi vəba
A00.9	Dəqiqləşdirilməmiş vəba
A01	Yatalaq və paratif
A01.0	Qarın yatalağı
A01.1	A paratifi
A01.2	B paratifi
A01.3	C paratifi
A01.4	Dəqiqləşdirilməmiş paratif
A02	Digər salmonellyoz infeksiyaları
A02.0	Salmonellyoz enteriti
A02.1	Salmonellyoz sepsisi
A02.2	Lokallaşmış salmonellyoz infeksiyası
A02.2†	Lokallaşmış salmonellyoz infeksiyası
A02.8	Digər dəqiqləşdirilmiş salmonellyoz infeksiyası
A02.9	Dəqiqləşdirilməmiş salmonellyoz infeksiyası
A03	Şigellyozlar
A03.0	Shigella dysenteriae tərəfindən törədilən şigellyoz
A03.1	Shigella flexneri tərəfindən törədilən şigellyoz
A03.2	Shigella boydii tərəfindən törədilən şigellyoz
A03.3	Shigella sonnei tərəfindən törədilən şigellyoz
A03.8	Digər şigellyoz
A03.9	Dəqiqləşdirilməmiş şigellyoz
A04	Digər bakterial bağırsaq infeksiyaları
A04.0	Escherichia coli tərəfindən törədilən enteropatogen infeksiya
A04.1	Escherichia coli tərəfindən törədilən enterotoksigen infeksiya
A04.2	Escherichia coli tərəfindən törədilən enteroinvaziv infeksiya
A04.3	Escherichia coli tərəfindən törədilən enterohemorragik infeksiya
A04.4	Escherichia coli tərəfindən törədilən digər bağırsaq
A04.5	Campylobacter tərəfindən törədilən enterit
A04.6	Yersinia enterocolitica tərəfindən törədilən enterit
A04.7	Clostridium difficile tərəfindən törədilən enterokolit
A04.8	Digər dəqiqləşdirilmiş bakterial bağırsaq infeksiyaları
A04.9	Dəqiqləşdirilməmiş bakterial bağırsaq infeksiyası
A05	Digər bakterial qida zəhərlənmələri
A05.0	Stafilokokklar tərəfindən törədilən qida zəhərlənməsi
A05.1	Botulizm
A05.2	Clostridium perfringens [Clostridium welchii] tərəfindən törədilən qida zəhərlənməsi
A05.3	Vibrio parahaemolyticus tərəfindən törədilən qida zəhərlənməsi
A05.4	Bacillus cereus tərəfindən törədilən qida zəhərələnməsi
A05.8	Digər dəqiqləşdirilmiş bakterial qida zəhərlənmələri
A05.9	Dəqiqləşdirilməmiş bakterial qida zəhərlənməsi
A06	Amöbiazlar
A06.0	Kəskin amöb dizenteriyası
A06.1	Xroniki bağırsaq amöbiazı
A06.2	Amöblü qeyri-dizenterial kolit
A06.3	Bağırsağın amöboması
A06.4	Qaraciyərin amöb absesi
A06.5	Ağ ciyərin amöb absesi (J99.8*)
A06.5+	Ağ ciyərin amöb absesi (J99.8*)
A06.6	Baş beynin amöb absesi (G07*)
A06.6+	Baş beynin amöb absesi (G07*)
A06.7	Dəri amöbiazı
A06.8	Digər lokalizasiyalı amöb infeksiyası
A06.9	Dəqiqləşdirilməmiş amöbiaz
A07	Digər protozoy bağırsaq xəstəlikləri
A07.0	Balantidiaz
A07.1	Jiardiaz [lyamblioz] A07.2
A07.2	Kriptosporidiaz
A07.3	İzosporoz
A07.8	Bağırsağın digər dəqiqləşdirilmiş protozoy xəstəlikləri
A07.9	Bağırsağın dəqiqləşdirilməmiş protozoy xəstəliyi
A08	Virus və digər dəqiqləşdirilmiş bağırsaq infeksiyaları
A08.0	Rotavirus enteriti
A08.1	Norvolk törədicisi tərəfindən törədilən kəskin qastroenteropatiya
A08.2	Adenovirus enteriti
A08.3	Virus mənşəli digər enteritlər
A08.4	Dəqiqləşdirilməmiş virus mənşəli bağırsaq infeksiyası
A08.5	Digər dəqiqləşdirilmiş bağırsaq infeksiyaları
A09	Digər yoluxucu və dəqiqləşdirilməmiş mənşəli qastroenteritlər və kolitlər
A09.0	Digər və dəqiqləşdirilməmiş infeksion mənşəli qastroenteritlər
A09.9	Dəqiqləşdirilməmiş mənşəli qastroenteritlər və kolitlər
A15	Tənəffüs orqanlarının bakterioloji və histoloji təsdiqlənmiş vərəmi
A15.0	Ağ ciyər vərəmi, bakterioskopik təsdiq edilmiş, kultural üsulla - mühitdə artımla və ya artımsız
A15.1	Ağ ciyər vərəmi, yalnız kultural mühitin artması ilə təsdiq
A15.2	Ağ ciyər vərəmi, histoloji təsdiq edilmiş
A15.3	Ağ ciyər vərəmi, dəqiqləşdirilməmiş üsullarla təsdiq edilmiş
A15.4	Döş qəfəsi limfa düyünlərinin vərəmi, bakterioloji və histoloji təsdiq edilmiş
A15.5	Qırtlaq, traxeya və bronxların vərəmi, bakterioloji və histoloji
A15.6	Vərəm plevriti, bakterioloji və histoloji təsdiq edilmiş
A15.7	Tənəffüs orqanlarının birincili vərəmi, bakterioloji və histoloji təsdiq edilmiş
A15.8	Digər tənəffüs orqanlarının vərəmi, bakterioloji və histoloji təsdiq edilmiş
A15.9	Tənəffüs orqanlarının lokalizasiyası dəqiqləşdirilməmiş
A16	Tənəffüs orqanlarının bakterioloji və histoloji təsdiqlənməmiş vərəmi
A16.0	Ağ ciyər vərəmi, bakterioloji və histoloji müayinələrin nəticələri mənfi olmaqla
A16.1	Ağ ciyər vərəmi, bakterioloji və histoloji müayinələr aparılmadan
A16.2	Ağ ciyər vərəmi, bakterioloji və ya histoloji təsdiq olunması
A16.3	Döş qəfəsi limfa düyünlərinin vərəmi, bakterioloji və ya histoloji təsdiq olunması göstərilmədən
A16.4	Qırtlaq, traxeya və bronxların vərəmi, bakterioloji və ya
A16.5	Vərəm plevriti, bakterioloji və ya histoloji təsdiq olunması
A16.7	Tənəffüs orqanlarının birincili vərəmi, bakterioloji və ya histoloji təsdiq olunması göstərilmədən
A16.8	Digər tənəffüs orqanlarının vərəmi, bakterioloji və ya histoloji təsdiq olunması göstərilmədən
A16.9	Tənəffüs orqanlarının lokalizasiyası dəqiqləşdirilməmiş vərəmi, bakterioloji və ya histoloji təsdiq olunması göstərilmədən
A17.0	Vərəm meningiti (G01*)
A17.0+	Vərəm meningiti (G01*)
A17.1	Meningeal tuberkuloma (G07*)
A17.1+	Meningeal tuberkuloma (G07*)
A17.8	Sinir sisteminin digər lokalizasiyalı vərəmi
A17.8+	Sinir sisteminin digər lokalizasiyalı vərəmi
A17.9	Sinir sisteminin dəqiqləşdirilməmiş vərəmi (G99.8*)
A17.9+	Sinir sisteminin dəqiqləşdirilməmiş vərəmi (G99.8*)
A17†	Sinir sisteminin vərəmi
A18	Digər orqanların vərəmi
A18.0	Sümük və oynaqların vərəmi
A18.0+	Sümük və oynaqların vərəmi
A18.1	Sidik-cinsiyyət orqanlarının vərəmi
A18.1+	Sidik-cinsiyyət orqanlarının vərəmi
A18.2	Vərəm mənşəli periferik limfadenopatiya
A18.3	Bağırsağın, peritonun və müsariqə limfa düyünlərinin vərəmi
A18.4	Dəri və dərialtı toxumanın vərəmi
A18.5	Göz vərəmi
A18.5+	Göz vərəmi
A18.6	Qulaq vərəmi
A18.6+	Qulaq vərəmi
A18.7	Böyrəküstü vəzilərin vərəmi (E35.1*)
A18.7+	Böyrəküstü vəzilərin vərəmi (E35.1*)
A18.8	Digər dəqiqləşdirilmiş orqanların vərəmi
A19	Miliar vərəm
A19.0	Bir dəqiqləşdirilmiş lokalizasiyalı kəskin miliar vərəm
A19.1	Çox lokalizasiyalı kəskin miliar vərəm A19.2
A19.2	Dəqiqləşdiriıməmiş lokalizasiyalı kəskin miliar vərəm
A19.8	Miliar vərəmin digər formaları
A19.9	Dəqiqləşdirilməmiş lokalizasiyalı miliar vərəm
A20	Taun
A20.0	Taunun bubon forması A20.1
A20.1	Dəri-selülyar taunu
A20.2	Ağ ciyər taunu
A20.3	Taun meningiti
A20.7	Taunun septik forması
A20.8	Taunun digər formaları
A20.9	Dəqiqləşdirilməmiş taun
A21	Tulyaremiya
A21.0	Tulyaremiyanın xoralı-vəzili forması
A21.1	Tulyaremiyanın göz vəzili forması
A21.2	Ağ ciyər tulyaremiyası
A21.3	Mədə-bağırsaq tulyaremiyası
A21.7	Generalizə olunmuş tulyaremiya
A21.8	Tulyaremiyanın digər formaları
A21.9	Dəqiqləşdirilməmiş tulyaremiya
A22	Qarayara
A22.0	Qarayaranın dəri forması
A22.1	Qarayaranın ağ ciyər forması
A22.2	Qarayaranın mədə-bağırsaq forması
A22.7	Qarayara sepsisi (qarayaranın septik forması) A22.8
A22.8	Qarayaranın digər formaları
A22.9	Dəqiqləşdirilməmiş qarayara
A23	Bruselyoz
A23.0	Brucella melitensis tərəfindən törədilən brusellyoz A23.1
A23.1	Brusella abortus tərəfindən törədilən brusellyoz
A23.2	Brusella suis tərəfindən törədilən brusellyoz
A23.3	Brucella canis tərəfindən törədilən brusselyoz
A23.8	Brusselyozun digər formaları
A23.9	Dəqiqləşdirilməmiş brusselyoz
A24	Sap və melioidoz
A24.0	Manqo
A24.1	Kəskin və ildırımsürətli melioidoz
A24.2	Yarımkəskin və xroniki melioidoz A24.3
A24.3	Digər dəqiqləşdirilməmiş melioidoz
A24.4	Dəqiqləşdirilməmiş melioidoz
A25	Siçovul dişləməsindən qızdırma
A25.0	Spirillyoz
A25.1	Streptobasillyoz
A25.9	Siçovul dişləməsindən törəyən dəqiqləşdirilməmiş qızdırma
A26	Erizipeloid
A26.0	Dəri erizipeloidi
A26.7	Erysipelothrix tərəfindən törədilən sepsis
A26.8	Erizipeloidin digər formaları
A26.9	Dəqiqləşdirilməmiş erizipeloid
A27	Leptospiroz
A27.0	Sarılıqlı - hemorragik leptospiroz
A27.8	Leptospirozun digər formaları
A27.9	Dəqiqləşdirilməmiş leptospiroz
A28	Digər rubrikalarda təsnif olunmayan başqa bakterial zoonozlar
A28.0	Pasterellyoz
A28.1	Pişik cırmaqlamasından törəyən qızdırma
A28.2	Bağırsaqdan xaric iersinioz
A28.8	Başqa rubrikalarda təsnif olunmayan digər dəqiqləşdirilmiş
A28.9	Dəqiqləşdirilməmiş bakterial zoonozlar
A30	Cüzam [Hansen xəstəliyi]
A30.0	Differensiasiya olunmamış cüzam
A30.1	Tuberkloid cüzam
A30.2	Hüdudlu tuberkloid cüzamı
A30.3	Hüdudlu cüzam
A30.4	Hüdudlu leprotamoz cüzam
A30.5	Lepromatoz cüzam
A30.8	Cüzamın digər formaları
A30.9	Dəqiqləşdirilməmiş cüzam
A31	Digər mikobakteriyalar tərəfindən törədilən infeksiyalar
A31.0	Mycobacterium tərəfindən törədilən ağ ciyər infeksiyası
A31.1	Mycobacterium tərəfindən törədilən dəri infeksiyası
A31.8	Mycobacterium tərəfindən törədilən digər infeksiyalar
A31.9	Mycobacterium tərəfindən törədilən dəqiqləşdirilməmiş
A32	Listerioz
A32.0	Dəri listeriozu
A32.1	Listeriozlu meningit və meningoensefalit
A32.7	Listerioz sepsisi
A32.8	Listeriozun digər formaları
A32.9	Dəqiqləşdirilməmiş listerioz
A33	Yenidoğulmuşun tetanusu
A34	Mamalıq tetanusu
A35	Tetanusun digər formaları
A36	Difteriya
A36.0	Udlaq difteriyası
A36.1	Burun-udlaq difteriyası
A36.2	Qırtlaq difteriyası
A36.3	Dəri difteriyası
A36.8	Difteriyanın digər formaları Difteriya mənşəli:
A36.9	Dəqiqləşdirilməmiş difteriya
A37	Göyöskürək
A37.0	Bordotella pertussis tərəfindən törədilən göy öskürək
A37.1	Bordetella parapertussis tərəfindən törədilən göy öskürək
A37.8	Bordotella növünə aid digər dəqiqləşdirilmiş törədicilər tərəfindən törədilən göy öskürək
A37.9	Dəqiqləşdirilməmiş göy öskürək
A38	Skarlatina
A39	Meninqokokk infeksiyası
A39.0	Meninqokokk meningiti (G01*)
A39.1	Uoterxaus-Frideriksen sindromu (E35.1*)
A39.1+	Uoterxaus-Frideriksen sindromu (E35.1*)
A39.2	Kəskin meninqokokkemiya
A39.3	Xroniki meninqokokkemiya
A39.4	Dəqiqləşdirilməmiş meninqokokkemiya
A39.5	Ürəyin meninqokokk mənşəli iltihabi xəstəlikləri
A39.5+	Ürəyin meninqokokk mənşəli iltihabi xəstəlikləri
A39.8	Digər meninqokokk infeksiyaları
A39.9	Dəqiqləşdirilməmiş meninqokokk infeksiyası
A40	Streptokokk septisemiyası
A40.0	A qrup stretokokkların törətdiyi sepsis A40.1
A40.1	B qrup stretokokkların törətdiyi sepsis
A40.2	D qrup stretokokkların törətdiyi sepsis
A40.3	Streptococcus pneumoniae tərəfindən törədilən sepsis
A40.8	Digər streptokokk sepsisi
A40.9	Dəqiqləşdirilməmiş streptokokk sepsisi
A41	Digər septisemiya
A41.0	Staphylococcus aureus tərəfindən törədilən sepsis
A41.1	Stafilokokkun digər dəqiqləşdirilmiş növü tərəfindən törədilən sepsis
A41.2	Stafilokokkun dəqiqləşdirilməmiş növü tərəfindən törədilən
A41.3	Haemophilus influenzae tərəfindən törədilən sepsis
A41.4	Anaerob mikroblar tərəfindən törədilən sepsis
A41.5	Digər qram-mənfi mikroorqanizmlər tərəfindən törədilən sepsis
