1.1.1	Təsdiq edilmiş müayinə cədvəlinə əsasən uşaqların icbari dispanserizasiyasının aparılması və müayinə zamanı ehtiyac yaranarsa, müvafiq həkim-mütəxəssisə əlavə müayinə-müalicə üçün göndərişlərin verilməsi
1.1.10	Xronik xəstəliklərin idarə edilməsi məqsədilə xəstələrə və onların ailə üzvlərinə praktik vərdişlərin öyrədilməsi
1.1.11	Ailə həkiminin səlahiyyətləri çərçivəsində ixtisaslaşdırılmış yardım tələb etməyən qeyri-infeksion xəstəliklərin müalicəsi
1.1.12	Ailə həkiminin səlahiyyətləri çərçivəsində ixtisaslaşdırılmış yardım tələb etməyən infeksion xəstəliklərin müalicəsi müddətində müşahidə və nəzarət
1.1.13	Psiхi pоzğunluqlаr və dаvrаnış pоzğunluqlаrı ilə əlaqədar xəstəliklərin remisiya dövründə müşahidə
1.1.14	Ailə həkiminə təhkim olunmuş əhali arasında bəzi xronik qeyri-infeksion xəstəliklərin gedişinə nəzarət və ağırlaşmaların qarşısının alınması üçün məqsədli dövlət proqramları çərçivəsində təminat verilmiş dərman vasitələri ilə təchizat
1.1.15	Uşaq əhalisinin ağız boşluğu sağlamlığına dair mütəmadi müayinəsi və ağız boşluğu sağlamlığına aid sanitar-gigiyenik vərdişlərin öyrədilməsi, mütəmadi məsləhətlərin verilməsi
1.1.16	Sağlam həyat tərzi, yenidoğulmuşlara qulluq və ana südü ilə qidalanma, uşaq və yeniyetmələrin sağlam qidalanmasına dair məsləhətlərin verilməsi və əhali arasında sanitar maarifi işi
1.1.17	Tütün, narkotik vasitələr və onların prekursorları, alkoqollu içkilərin zərəri haqqında əhali arasında sanitar maarifi işi
1.1.18	İlkin tibbi-sanitariya müəssisəsinə müraciət etmiş şəxslərə ilkin psixoloji yardım
1.1.19	Arterial təzyiqin ölçülməsi, nəbzin sayılması
1.1.2	18 yaşdan yuxarı əhalinin müraciəti əsasında profilaktik tibbi müayinələrin aparılması
1.1.20	Qanın ümumi analizi üçün qan nümunəsinin alınması
1.1.21	Sidiyin ümumi analizi üçün sidik nümunəsinin alınması
1.1.22	Nəcisin ümumi analizi üçün nəcis nümunəsinin alınması
1.1.23	Qanda şəkərin təyini üçün qan nümunəsinin alınması
1.1.24	Boğazdan yaxmanın götürülməsi və mikrobioloji sınaq üçün müvafiq laboratoriyaya göndərilməsi
1.1.25	Tuberkulin sınağı
