2.1.1	Uzman hekim muayenesi
2.4.248	Tam kan sayımı (CBC), otomatik (Hgb, Hct, RBC, WBC ve trombosit sayımı) ve otomatik lökosit formülü
2.1.524	Serum takılması, damar içi infüzyon
2.4.96	Kreatinin; kan
2.1.4	Kontrol muayene (21 gün) — sigortalının 21 gün içinde aynı uzmanlık dalındaki hekime aynı sebeple tekrar başvurusu
2.4.315	C-reaktif protein (CRP)
2.4.216	Alanin aminotransferaz (ALT) (SGPT)
2.4.118	Kan gazları — pH, pCO2, pO2, CO2, HCO3 (hesaplanmış O2 satürasyonu dahil)
2.4.215	Aspartat aminotransferaz (AST) (SGOT)
2.1.523	Damar içi enjeksiyon
2.1.325	Kontrastlı tetkikin kontrastsızdan farkı
2.4.30	İdrar tahlili — bilirubin, glukoz, hemoglobin, keton, lökosit, nitrit, pH, protein, dansite, ürobilinojen; otomatik, mikroskopi ile
2.4.128	Glukoz; kan, strip reaktif
2.4.214	Tiroid uyarıcı hormon (TSH)
2.1.439	En az 12 derivasyonlu elektrokardiyogram (EKG), yorum ve sonuç
2.4.68	Kalsiferol (D vitamini)
2.4.292	Protrombin zamanı
2.4.372	Hepatit B kor antikoru (HBcAb); total
2.1.34	Akciğer grafisi (ön-arka; tek pozisyon)
2.4.399	Hepatit C antikoru
2.4.112	Ferritin
2.1.443	Renkli Doppler ekokardiyografi
2.4.62	Bilirubin; total
2.4.101	Siyanokobalamin (B12 vitamini)
2.4.405	Kan grubu tayini; ABO
2.4.301	Parsiyel tromboplastin zamanı (PTT), plazma veya tam kan
2.4.212	Tiroksin; serbest (sT4)
2.4.70	Kalsiyum; total
2.4.142	Hemoglobin; glikozillenmiş (HbA1c)
2.1.5	Kontrol muayene (girişim/tedavi sonrası 45 gün) — yatarak tedaviden sonra 45 gün içinde aynı hekime tekrar başvuru
2.4.164	Lipoprotein, doğrudan ölçüm; LDL kolesterol
2.1.3	Dahili konsültasyon
2.1.214	Tüm abdomen USG
2.1.252	Toraks BT
2.4.183	Potasyum; serum, plazma veya kan
2.4.218	Trigliseritler
2.1.269	Tüm karın boşluğu BT
2.4.297	Eritrosit sedimentasyon hızı; otomatik (ESR)
2.4.43	Albümin; serum, plazma veya tam kan
2.4.135	Gama glutamil transferaz (GGT)
2.1.445	Kardiyotokografi (NST, yorumlu)
2.2.1	Nebülizatörle kombine inhalasyon (1 işlem)
2.4.87	Kolesterol, serum veya tam kan, total
2.2.13	TENS (30 dakika)
2.2.9	Yüksek frekanslı manyetik terapi (1 işlem)
2.1.526	Cilt altı enjeksiyon
2.4.162	Lipoprotein, doğrudan ölçüm; HDL kolesterol
2.4.180	Alkalen fosfataz (ALP)
2.4.201	Sodyum; serum, plazma veya kan
2.4.155	Demir
2.1.212	Meme USG
2.2.34	Şok dalga terapisi (1 işlem)
2.4.226	Üre azotu; idrar
2.4.113	Folik asit; serum
2.1.288	Beyin MR
2.4.79	Karsinoembriyonik antijen (CEA)
2.4.468	Enfeksiyon etkeni antijeninin immünfloresan yöntemiyle tayini; Treponema pallidum
2.2.18	Ultrason tedavisi (30 dakika)
2.2.39	Tekar terapi (1 işlem)
2.4.158	Laktat dehidrogenaz (LDH)
2.4.166	Magnezyum
2.1.440	Kardiyovasküler stres testi — treadmill, bisiklet ergometri, farmakolojik
2.2.28	Enterferansiyel akım (15 dakika)
2.4.228	Ürik asit; kan
2.1.213	Üst abdomen USG
2.1.171	Akciğer skopisi
2.1.534	Planlı oksijen verilmesi
2.4.190	Prostat spesifik antijen (PSA); total
2.2.69	Ortopedik rehabilitasyon hizmeti (1 gün)
2.1.209	Tiroid USG
2.4.221	Triiyodotironin T3; serbest (sT3)
2.4.181	Fosfor, inorganik (fosfat)
2.1.506	Yara pansumanı (küçük)
2.4.156	Demir bağlama kapasitesi
2.2.60	Nörolojik rehabilitasyon hizmeti (1 gün)
2.4.337	Tümör antijeni için immünolojik analiz, kantitatif; CA 19-9
2.1.334	Optik koherens tomografi (OKT)
2.1.525	Kan veya kan ürünleri transfüzyonu
2.1.219	Ürolojik USG
2.4.222	Troponin; kantitatif
2.4.343	İnsülin antikorları
2.4.188	Prolaktin
2.1.508	Yara pansumanı (büyük)
2.4.153	İnsülin; total
2.4.336	Tümör antijeni için immünolojik analiz, kantitatif; CA 15-3 (27.29)
2.4.904	HIV/AIDS (kart test)
2.4.238	Gonadotropin, koryonik (hCG); kantitatif
2.4.353	Sifiliz testi, non-treponemal antikor; kantitatif
2.4.192	Protein, total (refraktometri hariç); serum, plazma veya kan
2.4.163	Lipoprotein, doğrudan ölçüm; VLDL kolesterol
