PAT15197	33254-4	pHT	27408	oneri
MP15229	1496-9	Glukoz 90 dk	15704	oneri
1558-62		Tokluk Glukoz 2.saat	15704	belirsiz:1558-6
MP15228	1527-1	Glukoz 30 dk	15704	oneri
OGT-48	1558-6	Glukoz Açlık	15704	oneri
2359-81		GLUKOZ*	13704	belirsiz:2359-8
ART-022	2614-6	MetHb	13704	oneri
ART-027	33254-4	pHT	13704	oneri
CBASE1	1925-7	cBase(Ecf)c	13704	oneri
CHCO31000	19230-2	cHCO3-(P,st)c	13704	oneri
ART-001	2744-1	pH	13704	oneri
ART-013	1994-3	Ca++(kan gazkarı*)	13704	oneri
ART-015	42719-5	ctbil-(kan gazı)	13704	oneri
ART-017	718-7	ctHb(est)(kan gazlar*)	13704	oneri
ART-024	11559-2	O2Hb	13704	oneri
30313-12		O2sat (kan gazları *)	13704	belirsiz:30313-1
ART-002	2019-8	pCO2	13704	oneri
ART-009	2518-9	Lac (Kan Gazı)	13704	oneri
ART-016	20565-8	ctCO2(P)c	13704	oneri
ART-020	2339-0	GLUKOZ*	13704	oneri
ART-023	2947-0	Na + (kan gazları *)	13704	oneri
ART-025	2708-6	O2sat (kan gazları *)	13704	oneri
2026-31		pCO2	13704	belirsiz:2026-3
ART-003	2703-7	pO2	13704	oneri
ART-005	19230-2	cHCO3-(P,st)c	13704	oneri
ART-007	32771-8	PCO2T	13704	oneri
ART-026		p50c	13704	yok
CHC0333	20565-8	ctCO2(P)c	13704	oneri
HCCCT-1	20570-8	HCT (kan gazları*)	13704	oneri
pCO2T12	32771-8	PCO2T	13704	oneri
MP17801	20563-3	COHb	13704	oneri
ART-014	20563-3	COHb	13704	oneri
ART-021	20570-8	HCT (kan gazları*)	13704	oneri
ART-012	6298-4	cK+	13704	oneri
ART-019	19225-2	FHHb	13704	oneri
ART-028	19255-9	pO2T	13704	oneri
MP178056	2614-6	MetHb	13704	oneri
ART-006	1925-7	cBase(Ecf)c	13704	oneri
ART-018	19218-7	ctO2	13704	oneri
p50-72		p50c	13704	yok
pO2T61	19255-9	pO2T	13704	oneri
49765-12		Ca++(kan gazları*)	13704	belirsiz:49765-1
KG00009	19225-2	FHHb	13704	oneri
MP17802	11559-2	O2Hb	13704	oneri
2951-21		Sodyum	7898	belirsiz:2951-2
1945	24336-0	Qan Qazları (Laboratoriya)	7197	oneri
1996-81		Kalsium	6865	belirsiz:1996-8
30341-21		Sedimentasiyon	5775	belirsiz:30341-2
101-9		Cross Match	4294	yok
IZM-35151	108019-1	Syphilis TP (K?MİYY?T)	3454	oneri
MP15242	27860-6	İnsülin 120.Dk	1685	oneri
MP18243	27834-1	İnsülin 90 dk	1685	oneri
MP15240	30362-8	İnsülin 30 dk	1685	oneri
OGT-54	27873-9	İnsülin Açlık	1685	oneri
MLPCARE000		WİLSON H.-ATP7B Tüm Gen Dizi Analizi	1367	yok
1007-41		Coombs, direkt	804	belirsiz:1007-4
508-55	5048-4	ANA (Anti nükleer antikor) IFA	771	oneri
SPRM-011		VİSKOZİTE	761	yok
13037-8	1986-9	C-Peptit(toxluq)	688	oneri
MP15242-1	1986-9	C-Peptid(Tokluk)120 dk	688	oneri
PHTEST-001		4 lü Panel Hızlı Test (İnfluenza A ve B, Rsv, Adeno,Covid-19)	599	yok
49030-01		İkili Test	413	belirsiz:49030-0
MP15349	2890-2	Protein / Kreatinin (Spot İdrar).	368	oneri
IDR120	48999-7	24 Saatlik İdrarda Üre	274	oneri
MP15013	3092-4	Üre (İdrar)	274	oneri
IDR030	2889-4	24 Saatlik İdrarda Protein	242	oneri
KLTR-030		Allergy-Q (107 Allerjen Test)	186	yok
TBC-003		TBC PZR (Vücut Sıvıları)	169	yok
TBC-004		TBC PZR (Balgam)	169	yok
TBC-002		TBC PZR (BAL)	169	yok
IDR080	2162-6	24 Saatlik İdrarda Kreatinin	167	oneri
IDR040	6874-2	24 Saatlik İdrarda Kalsiyum	167	oneri
MP15019	10835-7	Lipoprotein (a)	166	oneri
29641-81		c-ANCA	165	belirsiz:29641-8
IRS-002		İrsi X?rç?ng Paneli (Kişi) (Sayy Bio)	150	yok
IRS-001		İrsi X?rç?ng Paneli (Qadin) (Sayy Bio)	150	yok
50997-b		nCOV-2019 Coronavirüs Hızlı Antijen Testi	136	yok
2335-B	2335-8	gizli qan	131	oneri
1003-31		Coombs, indirekt	125	belirsiz:1003-3
PAT15212		Üreaz testi (Helicobacter pylori)	107	yok
RVP-001		Respiratuvar Viral Panel	107	yok
LANT-001	6303-2	Lupus antikoagülan	106	oneri
MLPCARE001		WT1 Ekspresyon Analizi	103	yok
BAK55		ACE (Vücud Mayileri)	100	yok
