1007-4	Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells
101-6	Cefoperazone [Susceptibility] by Disk diffusion (KB)
10331-7	Rh [Type] in Blood
10334-1	Cancer Ag 125 [Units/volume] in Serum or Plasma
10349-9	Brucella sp Ab [Units/volume] in Serum
10352-3	Bacteria identified in Genital specimen by Aerobe culture
10353-1	Bacteria identified in Nose by Aerobe culture
10354-9	Bacteria identified in Urethra by Culture
10501-5	Lutropin [Units/volume] in Serum or Plasma
10525-4	Microscopic observation [Identifier] in Specimen by Cyto stain
10704-5	Ova and parasites identified in Stool by Light microscopy
108019-1	Treponema pallidum Ab [Measurement] in Serum
10835-7	Lipoprotein a [Mass/volume] in Serum or Plasma
10839-9	Troponin I.cardiac [Mass/volume] in Serum or Plasma
10842-3	Deprecated HLA-DQ1 [Presence]
10862-1	Basement membrane Ab [Titer] in Serum
10885-2	Porphyrins [Mass/time] in 24 hour Urine
10912-4	Lead [Mass/volume] in Serum or Plasma
11029-6	Consistency of Stool
11032-0	Glucose [Mass/volume] in Serum or Plasma --45 minutes post 50 g lactose PO
11039-5	C reactive protein [Presence] in Serum or Plasma
11043-7	Cryofibrinogen [Presence] in Plasma
11050-2	Kappa light chains [Mass/volume] in Serum or Plasma
11051-0	Lambda light chains [Mass/volume] in Serum or Plasma
11060-1	Reducing substances [Presence] in Stool
11140-1	Metanephrine [Moles/time] in 24 hour Urine
11253-2	Tacrolimus [Mass/volume] in Blood
11259-9	Hepatitis C virus RNA [Presence] in Serum or Plasma by NAA with probe detection
11545-1	Microscopic observation [Identifier] in Specimen by Acid fast stain
11559-2	Fractional oxyhemoglobin in Blood
11566-7	Liver kidney microsomal Ab [Units/volume] in Serum
11572-5	Rheumatoid factor [Units/volume] in Serum or Plasma
12141-8	Fetal Umbilical artery between fetus and placenta Systolic flow/Diastolic flow US.doppler
12258-0	Epithelial cells.squamous [Presence] in Urine sediment by Light microscopy
12389-3	OLANZapine [Mass/volume] in Serum or Plasma
1250-0	Major crossmatch [Interpretation]
12782-9	Oligoclonal bands [Interpretation] in Cerebral spinal fluid by Electrophoresis
13037-7	C peptide [Mass/volume] in Serum or Plasma --fasting
13169-8	Immunoelectrophoresis for Serum or Plasma
13252-2	Herpes simplex virus 2 IgM Ab [Units/volume] in Cerebral spinal fluid
13259-7	Leishmania brasilensis IgM Ab [Units/volume] in Serum
13303-3	HLA-A+B+C (class I) [Type]
13500-4	Amino acid pattern [Interpretation] in Serum or Plasma
13582-2	Theophylline [Mass/volume] in Body fluid
13590-5	Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay
13626-7	Mitotane [Mass/volume] in Serum or Plasma
13834-7	Total IgE [Units/volume] in Serum by Radioallergosorbent test (RAST)
13964-2	Methylmalonate [Moles/volume] in Serum or Plasma
13967-5	Sex hormone binding globulin [Moles/volume] in Serum or Plasma
14099-6	Nickel [Mass/volume] in Urine
14113-5	CD56 cells [#/volume] in Blood
14117-6	IgG clearance/Albumin clearance [Ratio] in Serum and CSF
1418-3	Cortisol [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM
14196-0	Reticulocytes [#/volume] in Blood
14246-3	Phosphatidylserine IgM Ab [Units/volume] in Serum
14252-1	Smooth muscle Ab [Presence] in Serum
14485-7	Mycoplasma sp and Ureaplasma sp [Identifier] in Vaginal fluid by Organism specific culture
14486-5	Mycoplasma sp and Ureaplasma sp [Identifier] in Penis by Organism specific culture
14487-3	Mycoplasma sp and Ureaplasma sp [Identifier] in Urethra by Organism specific culture
14561-5	Mycobacterium tuberculosis DNA [Presence] in Cerebral spinal fluid by NAA with probe detection
14567-2	11-Deoxycortisol [Moles/volume] in Serum or Plasma
14588-8	Alkaline phosphatase isoenzymes [Interpretation] in Serum or Plasma
14665-4	Copper [Moles/volume] in Serum or Plasma
14675-3	Cortisol [Moles/volume] in Serum or Plasma
14680-3	Creatine kinase isoenzymes [Interpretation] in Serum or Plasma by Electrophoresis
14711-6	EPINEPHrine [Moles/volume] in Plasma
14813-0	Lipoprotein.alpha [Moles/volume] in Serum or Plasma by Electrophoresis
14814-8	Lipoprotein.beta [Moles/volume] in Serum or Plasma by Electrophoresis
14816-3	Lipoprotein.pre-beta [Moles/volume] in Serum or Plasma by Electrophoresis
14852-8	Norepinephrine [Moles/volume] in Plasma
14853-6	Norepinephrine [Moles/volume] in Urine
14934-4	Urate [Moles/volume] in Urine
14956-7	Microalbumin [Mass/time] in 24 hour Urine
14957-5	Microalbumin [Mass/volume] in Urine
1496-9	Glucose [Mass/volume] in Serum or Plasma --1.5 hours post 75 g glucose PO
15009-4	5-Hydroxyindoleacetate [Moles/volume] in Urine
