108019-1	Treponema pallidum antikoru [Ölçüm] — Serum
10835-7	Lipoprotein (a) [Kütle/hacim] — Serum veya Plazma
11259-9	Hepatit C virüsü RNA [Varlık] — Serum veya Plazma, NAA prob ile
11559-2	Oksihemoglobin fraksiyonu (O2Hb) — Kan
1496-9	Glukoz [Kütle/hacim] — Serum/Plazma, 75 g glukoz sonrası 90. dakika
1527-1	Glukoz [Kütle/hacim] — Serum/Plazma, 75 g glukoz sonrası 30. dakika
1558-6	Açlık glukozu [Kütle/hacim] — Serum veya Plazma
17862-4	Kalsiyum [Kütle/hacim] — İdrar
19218-7	Oksijen içeriği (ctO2) — Arteriyel kan
19225-2	Deoksihemoglobin / toplam hemoglobin (FHHb) — Arteriyel kan
19230-2	Standart bikarbonat [Mol/hacim] — Arteriyel kan
1925-7	Baz fazlası (Base excess), hesaplanmış — Arteriyel kan
19255-9	Oksijen kısmi basıncı, hasta sıcaklığına göre düzeltilmiş (pO2T) — Arteriyel kan
1986-9	C-peptit [Kütle/hacim] — Serum veya Plazma
1994-3	İyonize kalsiyum [Mol/hacim] — Kan
2019-8	Karbondioksit kısmi basıncı (pCO2) — Arteriyel kan
20563-3	Karboksihemoglobin / toplam hemoglobin (COHb) — Kan
20565-8	Toplam karbondioksit [Mol/hacim] (ctCO2) — Kan
20570-8	Hematokrit [Hacim oranı], hesaplanmış — Kan
2162-6	Kreatinin [Kütle/zaman] — 24 saatlik idrar
2335-8	Gaitada gizli kan (hemoglobin) [Varlık]
2339-0	Glukoz [Kütle/hacim] — Kan
24336-0	Kan gazı paneli — Arteriyel kan
2518-9	Laktat [Mol/hacim] — Arteriyel kan
2614-6	Methemoglobin / toplam hemoglobin (MetHb) — Kan
2703-7	Oksijen kısmi basıncı (pO2) — Arteriyel kan
2708-6	Oksijen satürasyonu (SO2) — Arteriyel kan
2744-1	pH — Arteriyel kan
27819-2	Protein C aktivitesi — Trombositten fakir plazma, pıhtılaşma yöntemi
27834-1	İnsülin [Ünite/hacim] — Serum/Plazma, 75 g glukoz sonrası 90. dakika
27860-6	İnsülin [Ünite/hacim] — Serum/Plazma, 75 g glukoz sonrası 120. dakika
27873-9	İnsülin [Ünite/hacim] — Serum veya Plazma, açlık
2889-4	Protein [Kütle/zaman] — 24 saatlik idrar
2890-2	Protein / Kreatinin oranı — İdrar
2947-0	Sodyum [Mol/hacim] — Kan
30362-8	İnsülin [Ünite/hacim] — Serum/Plazma, 75 g glukoz sonrası 30. dakika
3092-4	Üre [Kütle/hacim] — İdrar
3174-0	Antitrombin [Ünite/hacim] — Trombositten fakir plazma, kromojenik yöntem
32771-8	Karbondioksit kısmi basıncı, hasta sıcaklığına göre düzeltilmiş (pCO2T) — Arteriyel kan
33254-4	pH, hasta sıcaklığına göre düzeltilmiş (pHT) — Arteriyel kan
42719-5	Total bilirubin [Kütle/hacim] — Kan
48999-7	Üre [Kütle/zaman] — 24 saatlik idrar
5048-4	Antinükleer antikor (ANA) [Titre] — Serum, immünfloresan
5622-6	Krom [Kütle/hacim] — Serum veya Plazma
6298-4	Potasyum [Mol/hacim] — Kan
6303-2	dRVVT (lupus antikoagülanı) — Trombositten fakir plazma, pıhtılaşma yöntemi
6874-2	Kalsiyum [Kütle/zaman] — 24 saatlik idrar
718-7	Hemoglobin [Kütle/hacim] — Kan
8124-0	CD3 hücreleri / toplam hücre — Kan
